short_size,long_size,v_enter,v_exit,trailing_sl,sma,total_PV,total_trades,VINE_PV,TRUMP_PV,kPEPE_PV,VINE_trades,TRUMP_trades,kPEPE_trades,param_key
7,38,0.6,1.1,1.1,4,707.9214581642543,334,474.666638522325,324.3805747939977,-91.1257551520684,113,113,108,"(7, 38, np.float64(0.6), np.float64(1.1), 1.1, 4)"
7,38,0.6,1.1,1.1,5,591.8285433941069,329,346.7189802549199,334.68508554412193,-89.57552240493497,112,110,107,"(7, 38, np.float64(0.6), np.float64(1.1), 1.1, 5)"
7,38,0.6,1.1,1.1,3,597.4210531343849,335,501.95775073339547,259.0854410214722,-163.62213862048264,113,113,109,"(7, 38, np.float64(0.6), np.float64(1.1), 1.1, 3)"
7,38,0.6,1.1,1.1,6,678.081092921886,323,373.7250124286961,349.0168435762035,-44.66076308301356,110,108,105,"(7, 38, np.float64(0.6), np.float64(1.1), 1.1, 6)"
7,38,0.7,1.1,1.05,3,679.1164646285046,406,786.787377936468,146.12435991206755,-253.79527322003105,147,125,134,"(7, 38, np.float64(0.7), np.float64(1.1), 1.05, 3)"
7,38,0.7,1.1,1.05,5,766.2246517077841,397,730.9580557436498,218.00607924244144,-182.73948327830715,144,122,131,"(7, 38, np.float64(0.7), np.float64(1.1), 1.05, 5)"
7,38,0.7,1.1,1.05,4,906.4480913575987,406,875.9964340880646,207.93189758190292,-177.48024031236878,147,126,133,"(7, 38, np.float64(0.7), np.float64(1.1), 1.05, 4)"
7,38,0.7,1.1,1.05,6,813.2485152739308,392,740.648744379821,229.4027303849364,-156.80295949082654,143,120,129,"(7, 38, np.float64(0.7), np.float64(1.1), 1.05, 6)"
7,38,0.7,1.1,1.1,3,960.4895398737013,370,894.3524726804645,248.41738177982288,-182.2803145865861,124,122,124,"(7, 38, np.float64(0.7), np.float64(1.1), 1.1, 3)"
7,38,0.7,1.1,1.1,4,1098.9062820076083,369,916.8775103901004,303.557601228761,-121.52882961125302,123,123,123,"(7, 38, np.float64(0.7), np.float64(1.1), 1.1, 4)"
7,38,0.7,1.1,1.1,5,975.7560805674029,359,781.321564698492,321.36697120538,-126.93245533646905,120,118,121,"(7, 38, np.float64(0.7), np.float64(1.1), 1.1, 5)"
7,38,0.7,1.1,1.1,6,1050.339600412006,352,797.5419803006266,336.5452376127003,-83.74761750132102,118,116,118,"(7, 38, np.float64(0.7), np.float64(1.1), 1.1, 6)"
7,38,0.8,1.1,1.05,3,314.09323357705,448,434.9795064789356,118.72814682725388,-239.61441972913948,164,140,144,"(7, 38, np.float64(0.8), np.float64(1.1), 1.05, 3)"
7,38,0.8,1.1,1.05,4,545.893960938113,447,515.8199064944977,178.29186134371966,-148.21780690010442,165,140,142,"(7, 38, np.float64(0.8), np.float64(1.1), 1.05, 4)"
7,38,0.8,1.1,1.05,5,464.71113715512513,436,410.94417841911195,193.7197721359578,-139.95281339994463,161,136,139,"(7, 38, np.float64(0.8), np.float64(1.1), 1.05, 5)"
7,38,0.8,1.1,1.05,6,473.08113618276514,429,376.6635258563058,209.52552234656605,-113.10791202010668,159,133,137,"(7, 38, np.float64(0.8), np.float64(1.1), 1.05, 6)"
7,38,0.8,1.1,1.1,4,681.8682137597834,401,509.8541682430507,287.42243232244596,-115.40838680571322,136,135,130,"(7, 38, np.float64(0.8), np.float64(1.1), 1.1, 4)"
7,38,0.8,1.1,1.1,3,546.8466204734377,403,495.65606378870694,234.52603602687742,-183.33547934214658,136,135,132,"(7, 38, np.float64(0.8), np.float64(1.1), 1.1, 3)"
7,38,0.8,1.1,1.1,5,616.4769015576295,389,413.17914619169585,310.5855314307648,-107.28777606483109,132,130,127,"(7, 38, np.float64(0.8), np.float64(1.1), 1.1, 5)"
7,38,0.8,1.1,1.1,6,639.4632535406707,381,374.6829400474205,330.1728969061984,-65.3925834129482,130,127,124,"(7, 38, np.float64(0.8), np.float64(1.1), 1.1, 6)"
